name,conferenceName,language,type,year,title,description,link
Илья Климов,JavaScript fwdays,russian,,2018,JavaScript: День 4001-й,,https://youtu.be/jzaZlEOSwoA
Сергей Бабич,JavaScript fwdays,ukranian,,2018,Як ангулярити на 5+,,https://youtu.be/dfJyrbk7PME
Михаил Чурилов,JavaScript fwdays,russian,,2018,Front-end Microservices Architecture,,https://youtu.be/2r9KqASOSeM
Андрей Листочкин,JavaScript fwdays,russian,,2018,"Time, Numbers, Text",,https://youtu.be/TFBCcNFEmDE
Артем Яворский,JavaScript fwdays,russian,,2018,99 ways to take away your ugly polyfills,,https://youtu.be/pMMQYHiFX3w
Олександр Скачков,JavaScript fwdays,russian,,2018,How to run WebAssembly in your React web application,,https://youtu.be/oicuETKQBkw
Виталий Ратушный,JavaScript fwdays,russian,,2018,Vue: webcomponents,,https://youtu.be/Q3MOPhHR2Mk
Екатерина Лизагубова,JavaScript fwdays,russian,,2018,React: дорога к просветлению,,https://youtu.be/STz1tr65ykE
Антон Немцев,JavaScript fwdays,russian,,2018,Кодстайл и насилие,,https://youtu.be/qHIhWxHSi_0
Martin Splitt,JavaScript fwdays,english,,2018,Creating virtual worlds in the browser,,https://youtu.be/0y2jXEUHvuk
Владимир Заец,JavaScript fwdays,russian,,2018,GraphQL - новый взгляд на API,,https://youtu.be/zXUP4bNDxWo
Никита Галкин,JavaScript fwdays,russian,,2018,Best practices and troubleshooting guide for node applications,,https://youtu.be/8HQ0IYanqFs
Григорий Шехет,JavaScript fwdays,russian,,2018,Растим детей. Или как Иван Васильевич запускал эксперименты?,,https://youtu.be/7cnBuA0LAGg
Noam Rosenthal,JavaScript fwdays,english,,2018,Frontend testing for Wix viewer: case study,,https://youtu.be/IYunRopn6fg
Feross Aboukhadijeh,JavaScript fwdays,english,,2018,The Most Annoying Website,,https://youtu.be/EkpS1eWb2BA
Елена Жукова,JavaScript fwdays,russian,,2018,Жизнь вне JavaScript,,https://youtu.be/gMWNlv6muNY
Андрей Канунников,JavaScript fwdays,russian,,2018,600 секунд об async_hooks,,https://youtu.be/8ut7bRzj-vU
Олександр Поштарук,JavaScript fwdays,russian,,2018,Use-case оператора replyWhen из Rx.JS,,https://youtu.be/d7zO9fzXbfM
Сергей Мелашич,JavaScript fwdays,russian,,2018,Web Workers - добавьте производительности своим Web приложениям,,https://youtu.be/ctKmHO2yARY
Jan Jongboom,JavaScript fwdays,english,,2018,JavaScript all the things,,https://youtu.be/tTPk0OdMCqM
Martin Splitt,JavaScript fwdays,english,,2017,Progressive web apps with Polymer,,https://youtu.be/Jg36lCMDwiM
